Unnamed: 0,Severity,Severity2,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Distance(mi),Lasting_time,Start_Lat,Start_Lng
465258,2,0,54.0,93.0,29.99,7.0,0.0,1776,39.90646,-122.192833
466144,2,0,44.6,76.0,30.34,10.0,0.0,1775,40.368286,-122.282166
466450,2,0,69.1,26.0,30.19,10.0,0.0,1788,40.047379,-122.170441
467082,2,0,55.0,37.0,30.33,10.0,0.0,2680,39.9753,-122.16465
467509,2,0,61.0,56.0,30.01,10.0,0.0,1725,39.87869600000001,-122.175705
468063,3,1,52.0,77.0,29.99,10.0,0.0,1784,39.996403,-122.20507
468655,3,1,48.0,77.0,29.94,10.0,0.0,2574,40.08392,-122.216644
469011,2,0,35.1,78.0,30.25,10.0,0.0,2684,39.928749,-122.253822
469182,2,0,55.0,69.0,30.14,10.0,0.0,1783,40.10804,-122.11039
471976,2,0,78.1,27.0,30.12,10.0,0.0,1778,39.913406,-122.169449
473864,2,0,77.0,9.0,29.96,10.0,0.0,3566,40.065723,-122.170097
473865,2,0,77.0,9.0,29.96,10.0,0.0,3584,40.068748,-122.17012
475661,2,0,60.1,16.0,30.22,10.0,0.0,2651,40.345333,-121.603264
475844,3,1,43.0,25.0,30.31,10.0,0.0,1784,40.219158,-122.25177
477981,3,1,52.0,43.0,30.13,6.0,0.0,2670,40.206074,-122.245613
479159,3,1,48.9,93.0,29.97,2.0,0.0,1761,40.080364,-122.216476
480069,3,1,54.0,93.0,29.95,10.0,0.0,1776,40.194836,-122.237259
480308,2,0,55.9,90.0,30.0,10.0,0.0,2682,40.026062,-122.171768
480359,2,0,57.0,74.0,30.06,10.0,0.0,2679,40.12775,-122.122124
480754,3,1,60.1,53.0,30.18,10.0,0.0,1767,40.367111,-122.284279
483111,2,0,71.1,73.0,29.79,10.0,0.0,1780,40.36375,-122.283623
484005,2,0,70.0,53.0,29.98,10.0,0.0,1779,40.054432,-122.100731
484018,2,0,64.0,73.0,30.01,10.0,0.0,1789,39.953564,-122.216339
484787,3,1,86.0,27.0,29.75,10.0,0.0,1759,39.884773,-122.200256
486202,2,0,82.9,12.0,29.86,10.0,0.0,1788,40.313602,-122.070885
486576,2,0,78.1,20.0,29.84,10.0,0.0,1784,40.088001,-122.217171
486874,3,1,69.1,14.0,30.06,10.0,0.0,1777,40.083969,-122.216644
487065,2,0,81.0,7.0,30.14,10.0,0.0,1778,40.36375,-122.283623
487455,2,0,81.0,9.0,30.1,10.0,0.0,1786,40.27861400000001,-122.492386
488710,3,1,78.1,25.0,30.12,10.0,0.8199999928474426,1759,40.366467,-122.284744
489592,2,0,73.0,26.0,29.92,10.0,0.0,1787,40.260033,-122.486496
489599,2,0,78.1,24.0,29.87,10.0,0.0,1791,39.94249,-122.179169
489641,3,1,66.9,32.0,29.86,10.0,0.0,1761,40.323334,-122.281151
490406,3,1,52.0,57.0,30.05,10.0,0.0,1737,39.880791,-122.200233
491418,2,0,79.0,29.0,29.99,10.0,0.0,1763,40.314018,-122.070358
491426,3,1,72.0,44.0,29.99,10.0,0.0,1781,40.194836,-122.237259
492701,2,0,75.0,16.0,30.09,10.0,0.0,1768,40.120663,-122.119667
493119,2,0,88.0,28.0,29.91,10.0,0.0,1787,39.899197,-122.192856
493139,2,0,90.0,19.0,29.85,7.0,0.0,1775,40.368996,-122.282463
496210,2,0,90.0,19.0,29.81,10.0,0.0,1786,40.2794,-121.421219
497768,2,0,81.0,23.0,29.83,10.0,0.0,1789,39.921875,-122.307655
498115,2,0,57.9,62.0,29.89,10.0,0.0,1770,39.931824,-122.033089
498131,2,0,55.0,57.0,29.92,10.0,0.0,1774,40.059917,-122.100716
498207,3,1,78.1,31.0,29.92,10.0,0.0,1790,39.996403,-122.205078
498735,2,0,71.1,27.0,29.79,10.0,0.0,1775,39.95517,-122.32859
499645,2,0,72.0,31.0,29.86,10.0,0.0,1749,40.030239,-122.293251
500577,2,0,91.0,9.0,29.78,10.0,0.0,1757,40.00015300000001,-122.206001
501906,2,0,73.9,32.0,29.96,10.0,0.0,2689,40.019161,-122.099113
502087,2,0,59.0,58.0,29.87,10.0,0.0,2690,40.347351,-122.326447
502827,2,0,90.0,10.0,29.93,10.0,0.0,1783,40.347561,-121.596603
502853,2,0,97.0,6.0,29.86,10.0,0.0,1779,40.309689,-122.331139
503315,2,0,87.1,11.0,30.0,10.0,0.0,1783,40.2794,-121.421219
503323,2,0,91.0,10.0,29.98,10.0,0.0,1789,40.005455,-122.171974
503340,3,1,98.1,8.0,29.9,10.0,0.0,1783,39.996403,-122.205078
504553,2,0,55.0,77.0,29.8,10.0,0.0,2682,40.197342,-122.265358
505385,2,0,84.0,55.0,29.81,8.0,0.0,1750,40.054516,-122.189087
505839,2,0,82.0,39.0,29.81,10.0,0.0,1788,39.906376,-122.187347
507233,2,0,100.0,14.0,29.83,3.0,0.0,1785,39.906799,-122.123215
507243,2,0,93.9,33.0,29.83,3.0,0.0,1781,39.971714,-122.169395
508558,2,0,97.0,18.0,29.85,3.0,0.0,1777,40.27861400000001,-122.492386
509409,3,1,73.0,46.0,29.87,8.0,0.75,1780,39.955349,-122.199646
510354,2,0,82.9,31.0,29.86,8.0,0.0,1781,40.295601,-121.419823
510769,3,1,66.0,68.0,29.91,10.0,0.0,1787,40.162067,-122.222656
510790,2,0,68.0,63.0,29.91,10.0,0.0,1789,40.054443,-122.091202
510825,2,0,90.0,28.0,29.86,10.0,0.0,1790,40.027958,-122.099861
511289,2,0,91.9,22.0,29.96,10.0,0.0,1789,40.223907,-122.330696
511324,3,1,93.0,20.0,29.92,10.0,0.0,1770,40.150589,-122.223007
511349,2,0,84.0,34.0,29.94,10.0,0.0,1779,39.881618,-122.197426
511737,2,0,89.1,21.0,30.03,7.0,0.0,2679,40.031113,-122.099899
511746,2,0,93.0,18.0,30.02,3.0,0.0,2684,40.226402,-122.460884
511756,3,1,97.0,17.0,29.99,10.0,0.0,1776,39.96069,-122.200394
512378,3,1,84.9,29.0,29.77,10.0,0.0,1789,40.236397,-122.256203
513497,2,0,60.1,83.0,29.97,9.0,0.0,2649,40.13998,-122.210892
513553,2,0,75.0,51.0,30.01,10.0,0.0,1791,40.02737,-122.099869
514466,2,0,82.9,29.0,29.83,7.0,0.0,1788,40.210987,-122.271637
514786,2,0,63.0,63.0,29.88,7.0,0.0,1789,40.20834,-122.264503
515299,2,0,60.1,72.0,29.89,10.0,0.0,1776,40.403431,-121.993805
515840,2,0,87.1,32.0,29.87,10.0,0.0,1788,40.169403,-122.161972
517870,2,0,106.0,12.0,29.73,10.0,0.0,1780,39.928749,-122.253822
518858,2,0,70.0,46.0,30.09,10.0,0.0,3576,40.027958,-122.099861
519772,3,1,95.0,13.0,29.91,10.0,0.0,1773,40.150242,-122.222946
520338,2,0,80.1,26.0,29.94,10.0,0.0,1783,40.326866,-122.425278
520339,2,0,80.1,26.0,29.94,10.0,0.0,1783,40.326866,-122.425278
520774,2,0,86.0,29.0,29.86,10.0,0.0,3590,40.12775,-122.122124
521099,2,0,72.0,49.0,29.85,10.0,0.0,1788,40.301254,-122.329727
523875,3,1,99.0,16.0,29.81,10.0,0.0,1779,40.157578,-122.223518
524286,3,1,97.0,23.0,29.86,10.0,0.0,1758,40.003487,-122.206535
524510,3,1,77.0,50.0,29.97,10.0,0.0,1773,40.003487,-122.206535
524740,2,0,77.0,69.0,29.99,10.0,0.0,1783,40.279896,-122.371811
525674,2,0,109.9,11.0,29.91,10.0,0.0,1753,39.92915,-122.288727
527201,2,0,84.9,51.0,29.87,9.0,0.0,1747,40.136562,-122.219246
528177,3,1,53.1,69.0,30.06,10.0,0.0,1789,40.183739,-122.22789
528823,3,1,93.9,24.0,29.82,10.0,0.0,1784,39.906807,-122.200333
532052,2,0,77.0,43.0,29.77,10.0,0.0,3581,40.27861400000001,-122.492386
532148,2,0,93.9,19.0,29.62,10.0,0.8600000143051147,1756,40.295113,-122.278778
532446,3,1,91.9,25.0,29.73,10.0,0.0,1791,40.181358,-122.225548
536337,2,0,66.2,64.0,29.92,25.0,0.0,3576,40.247219,-121.447556
536650,3,1,66.9,54.0,29.87,10.0,0.0,3570,40.189415,-122.232697
536729,2,0,93.0,20.0,29.85,10.0,0.0,1771,40.015202,-122.399193
537469,2,0,63.0,67.0,29.87,10.0,0.0,3566,39.943398,-122.04981200000002
540962,2,0,72.0,40.0,30.1,10.0,0.0,1791,40.077667,-122.272705
541327,2,0,55.9,80.0,30.02,10.0,0.0,1791,40.403431,-121.993805
541362,3,1,70.0,51.0,30.04,10.0,0.0,1782,40.150589,-122.223007
541392,3,1,84.9,33.0,29.97,10.0,0.0,1762,40.222103,-122.253372
541858,2,0,82.0,29.0,29.94,10.0,0.0,1776,39.92915,-122.288727
542629,2,0,61.0,39.0,29.88,10.0,0.0,1784,39.848709,-122.197334
542669,2,0,66.0,32.0,29.92,10.0,0.0,1791,40.108021,-122.11039
543114,3,1,84.9,20.0,29.78,10.0,0.0,1789,40.150589,-122.223007
543576,2,0,57.0,77.0,29.94,10.0,0.0,1789,40.08149,-122.171051
543590,2,0,57.9,75.0,29.94,10.0,0.0,1792,40.069866,-122.233589
545681,3,1,62.1,80.0,29.88,10.0,0.0,1774,40.222103,-122.253372
546924,2,0,62.1,72.0,29.89,10.0,0.0,1790,40.184875,-122.17836
546984,2,0,72.0,57.0,29.88,10.0,0.0,1769,40.077465,-122.256897
548697,2,0,64.9,61.0,29.79,10.0,0.0,1786,40.133549,-122.206444
548815,2,0,87.1,21.0,29.6,10.0,0.0,1784,40.133549,-122.206444
549783,3,1,78.1,25.0,29.8,10.0,0.0,1738,40.18105300000001,-122.237991
551134,2,0,66.9,49.0,30.01,10.0,0.0,1790,39.94249,-122.179169
551609,2,0,53.1,93.0,29.96,4.0,0.0,1788,40.013916,-122.402206
552141,2,0,57.0,96.0,29.71,2.5,0.0,1769,40.368999,-122.282463
552503,3,1,66.0,38.0,30.11,10.0,0.0,1786,40.292103,-122.278748
553573,2,0,61.0,54.0,29.76,10.0,0.0,1738,39.927845,-122.14122
554912,2,0,64.0,56.0,30.3,10.0,0.0,1787,40.044224,-122.100304
555094,3,1,55.0,80.0,29.92,10.0,0.0,1783,39.996403,-122.205078
556212,2,0,45.0,76.0,30.09,10.0,0.0,1788,39.960594,-122.122421
558736,2,0,53.1,77.0,30.01,10.0,0.0,1789,40.030239,-122.293251
558750,2,0,57.0,69.0,30.03,10.0,0.0,1791,39.90781,-122.093887
560257,3,1,52.0,77.0,30.03,10.0,0.0,1768,40.162067,-122.222656
560545,3,1,48.0,83.0,29.98,10.0,0.0,2683,40.219158,-122.25177
562370,2,0,62.1,24.0,30.23,10.0,0.0,2684,40.279331,-122.12146
563439,2,0,64.0,52.0,30.08,10.0,0.0,2690,39.906239,-122.173424
565453,2,0,48.0,93.0,29.93,10.0,0.0,1791,39.921947,-122.05441299999998
565972,3,1,48.0,83.0,29.8,10.0,0.0,2678,40.08477,-122.216995
566599,2,0,48.2,50.0,29.81,25.0,0.0,1790,39.8899,-121.984924
566933,3,1,48.0,58.0,30.04,10.0,0.0,2678,39.932022,-122.200409
568307,3,1,52.0,97.0,29.84,10.0,0.0,1789,40.189709,-122.23259
568890,3,1,51.1,89.0,29.64,10.0,0.0,1789,40.331104,-122.28163899999998
568912,3,1,52.0,77.0,29.71,10.0,0.0,1792,39.910038,-122.200333
569338,2,0,42.1,85.0,30.15,10.0,0.0,1788,39.832516,-122.197311
571935,2,0,51.1,66.0,30.05,10.0,0.0,1783,40.028442,-122.116234
573667,3,1,73.0,37.0,30.17,10.0,0.0,1783,40.287376,-122.278374
